  eff_res       1-norm      2-norm    inf-norm       itcount      time

      32        2.1178e+00  3.0817e+00 1.4417e+01         8       0.0402582
      64        2.2826e+01  3.0984e+01 8.2054e+01        10       0.102774
     128        7.4875e+00  1.0202e+01 2.9305e+01        14       0.418586
     256        1.9169e+02  1.1670e+03 1.6435e+04        12       1.18642
     512        2.6844e-03  3.7755e-03 3.0620e-02        15       4.51133 
    1024        4.9661e-05  3.0483e-04 5.3267e-03        24      20.421
    2048        1.2345e-05  7.5341e-05 1.3020e-03        20      57.735 
    4096        3.0814e-06  1.8783e-05 3.2391e-04        24     192.243
