   N      1-norm       2-norm    inf-norm     itcount     time
    64    2.2826e+01  3.0984e+01 8.2054e+01      107      0.0600408
   128    7.4875e+00  1.0202e+01 2.9305e+01      210      0.258584
   256    8.2243e-02  1.1877e-01 6.6995e-01      430      1.93774 
   512    2.6844e-03  3.7755e-03 3.0620e-02      872     12.6175 
  1024    4.9661e-05  3.0483e-04 5.3267e-03     2151     87.9964  
  2048    1.2345e-05  7.5341e-05 1.3020e-03     4675    599.751
  4096    3.0814e-06  1.8783e-05 3.2391e-04    18085   6937.04
