        0.10     57.3332     12.5662526752685828
        0.15    100.7100      1.1148073932552132
        0.20    100.2469      0.9530603107524335
        0.25    100.2215      0.8333464439880237
        0.30     99.9147      0.7355632524845837
        0.35    100.0496      0.6502620959121477
        0.40     99.9882      0.5763111636557826
        0.45     99.9290      0.5091900486371652
        0.50     99.9520      0.4472163882104216
        0.55     99.8639      0.3905022948470839
        0.60     99.9428      0.3368025778514417
        0.65     99.7425      0.2877198554336254
        0.70     99.5561      0.2406105792282771
        0.75     99.9309      0.1955184646504629
        0.80    100.4059      0.1529744106097539
        0.85     99.8010      0.1124299823328593
        0.90     95.7836      0.0733925174600731
        0.95     59.9555      0.0358558549465110
        1.00      0.0000      0.0000000000000000
