        0.10     59.4007     12.5658988678643961
        0.15    114.5725      1.1119352160361800
        0.20    109.4265      0.9542571554614293
        0.25    107.3587      0.8331256276792612
        0.30    105.8745      0.7349361149043862
        0.35    104.6969      0.6514882305324529
        0.40    103.9550      0.5761845328194715
        0.45    103.0781      0.5079885800179054
        0.50    101.7970      0.4465502261847988
        0.55    100.2740      0.3902495192460985
        0.60     98.3404      0.3390399601076589
        0.65     96.0251      0.2881657081598785
        0.70     91.8894      0.2398951421177033
        0.75     89.7076      0.1937095427147340
        0.80     78.4419      0.1527881235445381
        0.85     63.6860      0.1134455945030746
        0.90     19.8206      0.0722541571262841
        0.95      0.0000      0.0361642956747467
        1.00      0.0000      0.0000000000000000
