        0.10     58.6983     12.5658988678644885
        0.15    114.5773      1.1119352160361800
        0.20    109.5153      0.9542571554614293
        0.25    107.4462      0.8331256276792612
        0.30    105.9545      0.7349361149043862
        0.35    104.7622      0.6514882305324529
        0.40    103.9815      0.5761845328194715
        0.45    103.0739      0.5079885800179054
        0.50    101.8982      0.4465502261847988
        0.55    100.2841      0.3902495192460985
        0.60     98.3395      0.3390399601076589
        0.65     95.9759      0.2881657081598785
        0.70     91.8295      0.2398951421177033
        0.75     89.4199      0.1937095427147340
        0.80     77.8832      0.1527881235445381
        0.85     62.8075      0.1134455945030746
        0.90     18.7861      0.0722541571262841
        0.95      0.0000      0.0361642956747467
        1.00      0.0000      0.0000000000000000
